scientificName
Stenopilus jerseyensis Howell
Stenopilus latus Ulrich
Stenopilus parvus Howell
Stenopilus pronus Raymond
Stenopilus sp Grant
Stephanapsis avitus Palmer
Stephanapsis bispinosa Rasetti
Stephanocare monkei Walcott
Stephanocare richthofeni Monke
Stephanocare sinensis (Bergeron)
Stephanocare sp Walcott
Sthenarocalymene scutula Holloway
Stigmacephaloides curvabilis Ellinwood
Stigmacephaloides curvabilis Ellinwood in Bell & Ellinwood
Stigmacephaloides sp Lochman
Stigmacephalus sp Lochman
Stigmadiscus gibbosus Rasetti
Stigmadiscus stenometopus Rasetti
Strigambitus bilobus Palmer
Strigambitus blepharina Palmer
Strigambitus transversus Palmer
"Strigambitus utahensis (Resser, 1942)"
Strigigenalis amerado Lochman
Strigigenalis cassinensis Whittington
Strigigenalis sp Ross
Strotocephalus arrojosensis Lochman in Cooper Et Al
Strotocephalus gordonensis Resser
Subasaphus platyurus
Subasaphus sp.
Sudanomocarina traynorae Zhang & Jell
Sulcocephalus benesulcatus Wilson
Sulcocephalus candidus (Resser)
Sulcocephalus granulosus Wilson
Sulcocephalus latus (Frederickson)
Sulcocephalus sp 2 Grant
Suludella davnii Palmer & Gatehouse
Suludella spinosa Palmer & Gatehouse
Sunaspidella sp Zhang & Jell
Symphysops sp Cooper & Kindle
Symphysops spinifera Cooper & Kindle
Symphysurina brevispicata Hintze
Symphysurina bubops Winston & Nicholls
Symphysurina bulbosa Lochman
"Symphysurina cleora (Walcott, 1914)"
Symphysurina entella Walcott
Symphysurina eugenia Walcott
Symphysurina (Symphysuroides) minima Shaw
Symphysurina sp Lochman
"Symphysurina sp. nov. Taylor & Landing, 1982"
Symphysurina spicata Ulrich
"Symphysurina uncaspicata Hintze, 1953"
Symphysurina woosteri Ulrich
Symphysurus goldfussi Walcott
Synhomalonotus christyi (Hall)
Synphoria meeki (Walcott)
"Synphoroides biardi (Clarke, 1907)"
Sypacephalus longus
Syspacephalus charops (Walcott)
Syspacephalus crassus Rasetti
"Syspacephalus crassus Rasetti, 1951"
Syspacephalus gregarius Rasetti
Syspacephalus laevigatus Rasetti
"Syspacephalus laticeps Rasetti, 1951"
Syspacephalus laticeps Rasetti
Syspacephalus longus Palmer in Palmer & Halley
"Syspacephalus longus Palmer, 1979"
Syspacephalus obscurus Palmer in Palmer & Halley
Syspacephalus perola (Walcott)
Syspacephalus sp Palmer
Syspacephalus sp Fritz
Syspacephalus tardus Rasetti
Syspacephalus uncus (Walcott)
"Syspacephalus variosus Sundberg & McCollum, 2003"
Syspacephalus virginicus Resser
Syspacheilus camurus Lochman
Syspacheilus dunoirensis (Miller)
Syspacheilus dunorrensis (Miller)
Syspacheilus occidens Lochman
Syspacheilus praecedens elongatus Lochman & Hu
Syspacheilus praecedens Lochman & Hu
Syspacheilus typicale Resser
Szeaspis conoideus (Resser & Endo in Endo & Resser)
Szeaspis maia (Walcott)
Taenicephalina globula Lochman & Hu
Taenicephalina lechevalieri Rasetti
Taenicephalites macrops Rasetti
Taenicephalus decorosus Resser
Taenicephalus gallupensis Grant
Taenicephalus gouldi (Frederickson)
Taenicephalus granulosus Resser
Taenicephalus holmesi Resser
Taenicephalus hyrumensis Resser
Taenicephalus libertyensis Resser
Taenicephalus maladensis Resser
Taenicephalus modestus Resser
Taenicephalus ornatus Resser
Taenicephalus pealei Resser
Taenicephalus quinnensis Resser
Taenicephalus shumardi (Hall)
Taenicephalus sp Bell & Ellinwood
Taenicephalus speciosus Resser
Taenicephalus striatifrons Resser
Taenicephalus texanus Resser
Taenicephalus utahensis Resser
Taenicephalus wichitaensis Resser
Taenicephalus wyomingensis Resser
Taenora expansa Palmer
Taishania taianensis Sun
Taitzuia insueta Resser & Endo in Kobayashi
Taitzuia insueta Endo & Resser
Taitzuia sp a Zhang & Jell
Taitzuia sp b Zhang & Jell
Talbotina caelata Resser
Talbotina candida Resser
Talbotina clarae Howell
Talbotina degrasensis Lochman
Talbotina jeweli Lochman in Lochman & Duncan
Talbotina jeweli Lochman
Talbotina levisensis Rasetti
Talbotina pennsylvanica Howell
Talbotina ulrichi Resser
Tannodiscus balanus Rushton
Tarijactinoides jarcasensis Suarez Soruco
Tatonaspis alaskensis Kobayashi
Tatonaspis breviceps (Raymond)
Tatonaspis sp Taylor
Taxioura elongata McLaughlin & Enbysk
Taxioura magna Resser
Taxioura sp McLaughlin & Enbysk
Taxioura typicalis Resser
Tegopelte gigas Simonetta & Delle Cave
Teinistion alcon (Walcott)
Teinistion sp Walcott
Teinistion typicalis (Walcott)
Telaeomarrolithus intermedius Hughes
Telephus bicornis Ulrich
Telephus bilunatus Ulrich
Telephus bipunctatus Ulrich
Telephus buttsi Ulrich
Telephus gelasinosus Ulrich
Telephus hircinus Ulrich
Telephus impunctatus Ulrich
Telephus latus Ulrich
Telephus mysticensis Ulrich
Telephus prattensis Ulrich
Telephus pustulatus Ulrich
Telephus sinuatus Ulrich
Telephus spiniferus calhounensis Ulrich
Telephus spiniferus Ulrich
Telephus tellicoensis Ulrich
Telephus transversus Ulrich
Telephus troedssoni Raymond
Tellerina artigena Howell
Tellerina bigeneris Ulrich & Resser
Tellerina convexa Ulrich & Resser
Tellerina crassimarginata (Whitfield)
Tellerina curta Ulrich & Resser
Tellerina extrema Ulrich & Resser
Tellerina granistriata Ulrich & Resser
Tellerina lata Ulrich & Resser
Tellerina leucosia parallela Ulrich & Resser
Tellerina leucosia Ulrich & Resser
Tellerina norwalkensis Ulrich & Resser
Tellerina orientalis Endo & Resser
Tellerina recurva Ulrich & Resser
Tellerina regalis Howell
Tellerina strigosa Ulrich & Resser
Tellerina wardi (Walcott)
Tellerina winchelli Resser
Temnoura granosa Resser & Endo in Kobayashi
Temnoura granosa Endo & Resser
Temnoura quadrata Endo & Resser
Terataspis grandis Hall
Terataspis sp
"Teresellus goldfieldensis Hollingsworth, 2005"
Terranovella brevis Palmer
Terranovella bristolensis Resser
Terranovella buttsi Resser
Terranovella dorsalis (Hall)
Terranovella gelasinata Shaw
Terranovella sp Lochman & Denson
Terranovella typicalis Resser
Thaleops ovatus Conrad
Thaleops sp Ross
Thelecalymene mammillata (Hall)
Theodenisia brevicollis Rasetti
Theodenisia brevis (Rasetti)
Theodenisia clavata Rasetti
Theodenisia falcata Rasetti
Theodenisia gibba (Rasetti)
Theodenisia macrops (Raymond)
Theodenisia marcoui (Raymond)
Theodenisia microps (Rasetti)
Theodenisia sp Stitt
Theodenisia spinosa (Rasetti)
Theodinisia macrops (Raymond)
Tholifrons advena Palmer
Tholifrons minutus Palmer
Tholifrons sp Theokritoff
Thomsonaspis obscura Deiss
Thomsonaspis striata Deiss
Thoracocare idahoensis (Resser)
Thoracocare minuta (Resser)
Timoraspis stephensis Hahn & Hahn
Tinaspis totoyaca Robison & Pantoja-Alor
Toernquista idahoensis Churkin
Tomagnostus fissus (Linnarsson)
Tomagnostus fissus (Lundgren)
Tomorhachis spinosa Resser
Tonkinella appalachia Resser
Tonkinella idahoensis Resser
"Tonkinella spinosa Sundberg, 2006"
Tonkinella stephensis Kobayashi
"Tonopahella goldfieldensis Sundberg & McCollum, 2003"
"Tonopahella walcotti (Sundberg & McCollum, 2000)"
Torridella migrante Lochman
Trachoparia acis (Walcott)
Trachycheilus typicale Resser in McKee & Resser
Tretaspis clarkei Cooper
Tretaspis elevata Cooper & Kindle
Tretaspis reticulata Ruedemann
Tretaspis sagenosus Whittington
Triadaspis bigensis
Triarthropsis limbata Rasetti
Triarthropsis marginata (Rasetti)
Triarthropsis nitida Ulrich
Triarthropsis princetonensis Kobayashi
Triarthropsis sp Taylor
Triarthropsis sp a Winston & Nicholls
Triarthrus becki Green
Triarthrus eatoni (Hall)
"Triarthrus papulosus Fortey, 1974"
Triarthrus sp Ross
Triarthrus spinosus Billings
Triarthrus tetragonalis (Harrington)
Tricopelta breviceps (Hall)
Tricrepicephalus alabamensis Resser
Tricrepicephalus arcuatus Tasch
Tricrepicephalus auxiliarius Duncan in Lochman & Duncan
Tricrepicephalus beltensis Resser
Tricrepicephalus blountensis Resser
Tricrepicephalus cedarensis Resser
Tricrepicephalus coria (Walcott)
Tricrepicephalus crassus Resser
Tricrepicephalus curticei Resser
Tricrepicephalus davidi Lochman
Tricrepicephalus laxus Resser
Tricrepicephalus nasutus Duncan in Lochman & Duncan
Tricrepicephalus natalia Lochman
Tricrepicephalus nuperus Resser
Tricrepicephalus paracomus Lochman
Tricrepicephalus pergranosus Resser
Tricrepicephalus rex Lochman
Tricrepicephalus simplex Resser
Tricrepicephalus simulans Resser
Tricrepicephalus sp Robison & Palmer
Tricrepicephalus sp Cressler
Tricrepicephalus sp Palmer
Tricrepicephalus sp Lochman
Tricrepicephalus sp Butts
Tricrepicephalus texanus (Shumard)
Tricrepicephalus thoosa (Walcott)
Tricrepicephalus walcotti (Lochman)
Tricrepicephalus yellowstonensis Resser
Trigonocerca sp Sando
Trimerus (Dipleura) dekayi Green
Trimerus swartzi (Ohern)
Trinepea trinodus Palmer & Gatehouse
Trinodus clusus (Whittington)
Trinodus elspethi (Raymond)
Trinodus sp Ross
Trinodus sp 1 Ross
Trinodus valmyensis Ross
Trinucleoides reussi
Trinucleus bellulus Ulrich
Trinucleus concentricus Eaton
Trinucleus fimbriatus Unknown
Triplagnostus burgessensis Rasetti
Triplagnostus gibbus (Linnarsson)
Triplagnostus lomondensis Howell
Triproetus altasulcus Brezinski
Triproetus angustus Brezinski
Triproetus tumidus Brezinski
Trochurus phlyctainodes Green
Trymataspis depressa Robison
Trymataspis lomaleie Robison
Trymataspis pristina Robison
Tsinania canens (Walcott)
Tsinania cleora Walcott
Tsinania convexa Endo & Resser
Tsinania elongata Walcott
Tsinania longicephala Endo & Resser
Tsinania neiopina
"Tsinania nomas Shergold, 1975"
Tsinania sp
Tsinania vulgaris Endo & Resser
Tsunyidiscus orientalis (Walcott)
Tumicephalus depressus Palmer
Ulrichaspis paradoxa Rasetti
Uncaspis angustata Resser
Uncaspis dali Duncan in Lochman & Duncan
Uncaspis discrepans Duncan in Lochman & Duncan
Uncaspis micans Resser
Uncaspis modesta Lochman
Uncaspis modesta Lochman in Lochman & Duncan
Uncaspis nitida Resser
Uncaspis presbytera Lochman
Uncaspis snowyensis Lochman in Lochman & Duncan
Uncaspis tennesseensis Resser
Uncaspis unca (Walcott)
Uromystrum sp Ross
Ursinella major Eddy & McCollum
Utagnostus trispinulus Robison
Utaspis marjumensis (Resser)
Utia appalachia Resser
Utia curio Resser
Utia curio Walcott
Vanuxemella contracta Walcott
Vanuxemella idahoensis Resser
Vanuxemella nortia Walcott
Varanella riaverda Lochman
Varvia sp Ross
Vernaculina flexiosa Lochman
Viaphacops bombifrons
Vidria vespa Weller
Vistoia minuta Resser
Vistoia prisca Walcott
Volocephalina connexa Palmer in Palmer & Halley
Volocephalina contracta Palmer in Palmer & Halley
Volocephalina variosa Eddy & McCollum
Walcottaspis vanhornei (Walcott)
Walliserops sp.
Wanneria gracile Walcott
Wanneria humilis Robison & Hintze
Wanneria mexicana prima Lochman in Cooper Et Al
Wanneria occidens Walcott
Wanneria sp Lochman in Cooper Et Al
Wanneria walcottana buelnaensis Lochman in Cooper Et Al
"Wanneria walcottana (Wanner, 1938)"
Wanneria walcottanus (Wanner)
Wannerina longoculata Best
"Warburgella plana Raymond, 1937"
Warburgella rugulosa canadensis Ormiston
Warburgella rugulosa Ormiston
Warburgella rugulosa eureka Alberti et al.
Weania brewi Hahn & Hahn
Weeksina rara Lochman
Weeksina snowyensis Lochman
Welleraspis humilis Howell
Welleraspis jerseyensis (Weller)
Welleraspis lata Howell
Welleraspis newfoundlandensis Lochman
Welleraspis swartzi (Tasch)
Wenkchemnia spinicollis Rasetti
Wenkchemnia sulcata Rasetti
Wenkchemnia walcotti Rasetti
Westergaardia lata Matthew
Westergaardia scanica (Westergaard)
Westergardites sp Taylor
Westonaspis texana Longacre
Whittingtonia sp Ross
Wilbernia diademata (Hall)
Wilbernia expansa Frederickson
Wilbernia explanata (Whitfield)
Wilbernia halli var. a Ellinwood
Wilbernia halli Resser
Wilbernia halli var. a Resser
Wilbernia halli var. a Ellinwood in Bell & Ellinwood
Wilbernia hudsonensis Resser
Wilbernia pero (Walcott)
Wilsonella pennsylvanica Hu
Wujiajiania sutherlandi
"Xanionurus boucoti Whittington & Campbell, 1967"
Xenasaphus delphinus
Xenasaphus devexus
Xenocheilos granulosus Palmer
Xenocheilos minutum Wilson
Xenostegium albertensis Walcott
Xenostegium douglasensis Walcott
Xenostegium euclides Walcott
Xenostegium eudocia Walcott
Xenostegium franklinense Ross
Xenostegium franklinensis Ross
Xenostegium goniocercum (Meek)
Xenostegium kirki Walcott
Xenostegium schofieldi Walcott
Xenostegium shepardi (Raymond)
Xenostegium sulcatum Walcott
Xenostegium taurus Walcott
Xingrenaspis hoboi (Resser & Endo in Endo & Resser)
Xystocrania perforator (Billings)
Xystocrania pyriformis Ross
Xystridura glacia Palmer & Gatehouse
Xystridura multilinia Palmer & Gatehouse
Yabeia laevigata Endo & Resser
Yabeia laevigata Resser & Endo in Kobayashi
Yabeia tutia (Walcott)
Yaojiayuella granosa (Walcott)
Yohoaspis pachycephala Rasetti
Yokusenia sp Zhang & Jell
Yuehsienszella constricta (Walcott)
Yuknessaspis paradoxa Rasetti
Yukonaspis kindlei Kobayashi
Yukonaspis sp
Yukonia intermedia Palmer
Zacanthiodes submuticus Rasetti
Zacanthoides abbreviatus Resser
Zacanthoides adjunctus Resser
Zacanthoides alatus (Resser)
Zacanthoides cimon Walcott
Zacanthoides cnopus Walcott
Zacanthoides demissus Fritz
Zacanthoides divergens Rasetti
Zacanthoides eatoni Walcott
Zacanthoides gradatus Resser
Zacanthoides holopygus Resser
Zacanthoides (Emmrichella) idahoensis Walcott
Zacanthoides idahoensis Walcott
Zacanthoides longipygus Rasetti
Zacanthoides nitidus Resser
Zacanthoides orientalis Butts
Zacanthoides planifrons Rasetti
Zacanthoides romingeri Resser
Zacanthoides sampsoni Resser
Zacanthoides serratus Resser
Zacanthoides sexdentatus Rasetti
Zacanthoides sp Resser in McKee & Resser
Zacanthoides sp Palmer in Palmer & Halley
Zacanthoides sp Robison
Zacanthoides sp Fritz
Zacanthoides sp Eddy & McCollum
Zacanthoides sp Rasetti
Zacanthoides sp 1 Palmer
Zacanthoides sp 2 Palmer
Zacanthoides spinosus (Walcott)
Zacanthoides submuticus Rasetti
Zacanthoides typicalis
Zacanthoides variacantha Palmer in Palmer & Halley
Zacanthoides walapai Resser in McKee & Resser
Zacanthoides weedi Resser
Zacanthopsina contractus Palmer
Zacanthopsina eperephes Palmer
Zacanthopsis contractus Palmer
Zacanthopsis levis (Walcott)
Zacanthopsis virginica Palmer in Palmer & Halley
Zacompsus convexus Rasetti
Zeilszkella torrubriae
Zhongtiaoshanaspis yanzhuangensis Zhang & Jell
Ziboaspis uta (Walcott)
Zlichovaspis sp
Trilobita
0
