scientificName
Baltagnostus stockportensis Rasetti
Baltagnostus wyomingensis Lochman
Barrandia mccoyi Walcott
Barrandia sp Walcott
Basidechenella rowi (Green)
Basilicus marginalis (Hall)
Basilicus mckeei Ross
Basilicus sp Butts
Basilicus trelazeensis
Bathydiscus dolichometopus Rasetti
"Bathyholcus conifrons Shergold & Webers, 1992"
Bathyholcus gaspensis Rasetti
Bathyholcus sulcatus Rasetti
Bathyurellus abruptus Billings
Bathyurellus feitleri (Holliday)
Bathyurellus flabellus (Bradley)
Bathyurellus nitidus (Billings)
Bathyurellus permaginatus Cullison
Bathyurellus sp 1 Ross
Bathyurellus sp 2 Ross
Bathyurellus sp 3 Ross
Bathyurellus sp 4 Ross
Bathyuriscellus australis Palmer & Gatehouse
Bathyuriscellus modestus Palmer & Gatehouse
Bathyuriscidella amplicauda Rasetti
Bathyuriscidella socialis Rasetti
Bathyuriscidella sp Rasetti
Bathyuriscus adeus Walcott
Bathyuriscus anax Walcott
Bathyuriscus (Poliella) anteros Walcott
Bathyuriscus atossa Walcott
Bathyuriscus (Poliella) balus Walcott
Bathyuriscus batis Walcott
Bathyuriscus belesis Walcott
Bathyuriscus belus Walcott
Bathyuriscus bithus Walcott
Bathyuriscus brighamensis Resser
Bathyuriscus browni Walcott
Bathyuriscus (Poliella) caranus Walcott
